Agent,Total_PNL,Mean_Daily_PNL,Daily_Tracking_Error,Sharpe_Ann,Total_Trans_Cost,Mean_Abs_Daily_PNL,Mean_Abs_Trade,N_Days
Black-Scholes,854978.8515546313,1616.217110689284,7970.099552519967,3.2191130196504423,1053450.871462728,5278.781618406522,0.08423099592541179,529
Vanilla PPO+LSTM,1402045.8729348504,2650.3702701982047,7516.11355058336,5.597749876974062,796354.4995808395,5430.265242159959,0.07188607120802905,529
BOLA+LSTM,1425809.5852041836,2695.292221558003,7404.9520498705015,5.778084352900561,780488.97715292,5369.528680315368,0.06976847565196888,529
