Agent,Tracking_Error,Sharpe_Ann,Mean_Daily_PNL,Total_PNL,Total_Trans_Cost,N_Steps
Black-Scholes,98.0834,0.6875,4.248,854978.85,1053450.87,201264
Vanilla PPO+LSTM,97.3624,1.1358,6.9662,1402045.87,796354.5,201264
BOLA+LSTM,97.1381,1.1577,7.0843,1425809.59,780488.98,201264
